n,Time_ij,Time_ji
0,0.000014,0.000000
1000,0.004598,0.012055
2000,0.016649,0.071449
3000,0.033394,0.179539
4000,0.061206,0.361844
5000,0.093179,0.594395
6000,0.131957,0.935442
7000,0.177754,1.352157
8000,0.232575,1.810459
9000,0.296473,2.587168
10000,0.365061,3.080069
11000,0.441433,3.778610
12000,0.522680,4.585809
13000,0.616362,5.518942
14000,0.713662,6.581220
15000,0.834133,7.587812
16000,0.936326,8.612762
